Electrode,x,y,z,Magnitude,Row_Mean
C3,-0.16635043141958167,1.5287180190757488,-1.2607272280171926,0.5927469820384871,0.14886269990857207
Fp1,0.6322164397149705,0.9825033466163503,0.29409076600048595,-0.9855867362103427,1.1129350923737609
T7,-0.11583866704045447,-0.673311582857301,0.024530625696984432,-1.9376939478813853,-0.45964088327003516
FC5,-1.6627244579607159,-0.9526922386025463,0.13578534284577143,0.5681844651768906,-1.4513549306001243
FC1,1.2649865385567234,1.6213520678659463,-0.26065128556389333,0.9773816634775655,1.5609569577011173
FC1,-0.8165164356186768,0.05246540591268066,-0.16354549292317588,-1.975972683101858,-0.5225222584727811
FT9,-0.4236317075365892,1.5623859001527851,-1.2304467138575756,0.6841666440385593,0.0386773917626912
Fp1,-0.4248633854611556,-1.206823722610726,-1.1504234881490993,0.19231174292463357,-1.5917662987727623
C3,-1.0710066265574163,-1.0822574116364372,-1.4521883168941,0.8966155151835088,-2.0480054582111697
TP9,1.1141507752411237,0.4555823572741156,0.011997604554705634,-0.9416063751641238,0.9176128512714732
T7,0.6599604283180133,-0.7032939646808912,1.7449233618453106,0.6683184974658446,0.8925583874943516
F7,1.1754784382069778,0.5608295347456491,-1.1790770456711184,0.13335263064164304,0.3740587939571216
FC5,-1.04521360617788,-0.022828619359271822,-0.7826768911511636,-0.974360846553491,-1.0323307967495006
FT9,-1.424992727944394,1.0151618680849372,1.342666665424622,0.9681946989480557,0.5237790433559716
FC1,-0.5462507695155006,0.6326676328732087,0.7374937410006441,-1.3774683316454295,0.46801172539706104
FT9,0.8794356915436713,-0.6157537172318279,-1.1816693787147239,-0.11742172773774179,-0.5070873897361764
FC1,-0.6818683423131113,1.3732236578941963,1.549835185716999,0.950706224827456,1.275929420480244
Fz,0.7414481361426447,1.1885037309648718,1.2030841023470311,0.3420991508434906,1.7897877247186258
T7,-1.7386173865807457,0.1111458760743473,1.5933799981785801,1.2729981068810365,-0.06618074378451443
